match_id,Season,total_runs
100,IPL-2008,212
101,IPL-2008,329
102,IPL-2008,331
103,IPL-2008,204
104,IPL-2008,312
105,IPL-2008,297
106,IPL-2008,377
107,IPL-2008,238
108,IPL-2008,353
109,IPL-2008,355
110,IPL-2008,412
111,IPL-2008,309
112,IPL-2008,349
113,IPL-2008,291
114,IPL-2008,295
115,IPL-2008,279
116,IPL-2008,228
117,IPL-2008,327
118,IPL-2009,311
119,IPL-2009,191
120,IPL-2009,162
121,IPL-2009,205
122,IPL-2009,266
123,IPL-2009,237
124,IPL-2009,344
125,IPL-2009,369
126,IPL-2009,333
127,IPL-2009,341
128,IPL-2009,324
129,IPL-2009,299
130,IPL-2009,251
131,IPL-2009,334
132,IPL-2009,282
133,IPL-2009,290
134,IPL-2009,282
135,IPL-2009,235
136,IPL-2009,298
137,IPL-2009,290
138,IPL-2009,287
139,IPL-2009,282
140,IPL-2009,283
141,IPL-2009,308
142,IPL-2009,307
143,IPL-2009,299
144,IPL-2009,278
145,IPL-2009,344
146,IPL-2009,311
147,IPL-2009,271
148,IPL-2009,212
149,IPL-2009,359
150,IPL-2009,234
151,IPL-2009,337
152,IPL-2009,281
153,IPL-2009,298
154,IPL-2009,248
155,IPL-2009,279
156,IPL-2009,349
157,IPL-2009,241
158,IPL-2009,334
159,IPL-2009,261
160,IPL-2009,288
161,IPL-2009,243
162,IPL-2009,298
163,IPL-2009,326
164,IPL-2009,267
165,IPL-2009,286
166,IPL-2009,377
167,IPL-2009,269
168,IPL-2009,203
169,IPL-2009,208
170,IPL-2009,331
171,IPL-2009,328
172,IPL-2009,307
173,IPL-2009,295
174,IPL-2009,280
175,IPL-2010,311
176,IPL-2010,420
177,IPL-2010,288
178,IPL-2010,271
179,IPL-2010,349
180,IPL-2010,283
181,IPL-2010,407
182,IPL-2010,273
183,IPL-2010,338
184,IPL-2010,185
185,IPL-2010,375
186,IPL-2010,334
187,IPL-2010,302
188,IPL-2010,306
189,IPL-2010,332
190,IPL-2010,291
191,IPL-2010,311
192,IPL-2010,306
193,IPL-2010,335
194,IPL-2010,361
195,IPL-2010,299
196,IPL-2010,327
197,IPL-2010,349
198,IPL-2010,337
199,IPL-2010,303
200,IPL-2010,314
201,IPL-2010,327
202,IPL-2010,323
203,IPL-2010,309
204,IPL-2010,338
205,IPL-2010,365
206,IPL-2010,469
207,IPL-2010,293
208,IPL-2010,404
209,IPL-2010,331
210,IPL-2010,316
211,IPL-2010,306
212,IPL-2010,310
213,IPL-2010,348
214,IPL-2010,370
215,IPL-2010,312
216,IPL-2010,277
217,IPL-2010,322
218,IPL-2010,223
219,IPL-2010,311
220,IPL-2010,289
221,IPL-2010,326
222,IPL-2010,282
223,IPL-2010,262
224,IPL-2010,225
225,IPL-2010,352
226,IPL-2010,325
227,IPL-2010,265
228,IPL-2010,387
229,IPL-2010,279
230,IPL-2010,268
231,IPL-2010,333
232,IPL-2010,246
233,IPL-2010,168
234,IPL-2010,314
235,IPL-2011,304
236,IPL-2011,278
237,IPL-2011,323
238,IPL-2011,194
239,IPL-2011,225
240,IPL-2011,317
241,IPL-2011,303
242,IPL-2011,283
243,IPL-2011,381
244,IPL-2011,299
245,IPL-2011,317
246,IPL-2011,319
247,IPL-2011,366
248,IPL-2011,345
249,IPL-2011,331
250,IPL-2011,377
251,IPL-2011,166
252,IPL-2011,266
253,IPL-2011,320
254,IPL-2011,242
255,IPL-2011,258
256,IPL-2011,342
257,IPL-2011,320
258,IPL-2011,346
259,IPL-2011,433
260,IPL-2011,307
261,IPL-2011,220
262,IPL-2011,259
263,IPL-2011,321
264,IPL-2011,286
265,IPL-2011,203
266,IPL-2011,279
267,IPL-2011,189
268,IPL-2011,336
269,IPL-2011,276
270,IPL-2011,239
271,IPL-2011,287
272,IPL-2011,311
273,IPL-2011,295
274,IPL-2011,281
275,IPL-2011,318
276,IPL-2011,296
277,IPL-2011,299
278,IPL-2011,295
279,IPL-2011,354
280,IPL-2011,325
281,IPL-2011,175
282,IPL-2011,324
283,IPL-2011,253
284,IPL-2011,239
285,IPL-2011,329
286,IPL-2011,273
287,IPL-2011,250
288,IPL-2011,297
289,IPL-2011,334
290,IPL-2011,359
291,IPL-2011,194
292,IPL-2011,260
293,IPL-2011,311
294,IPL-2011,195
295,IPL-2011,274
296,IPL-2011,353
297,IPL-2011,293
298,IPL-2011,237
299,IPL-2011,267
300,IPL-2011,314
301,IPL-2011,56
302,IPL-2011,257
303,IPL-2011,353
304,IPL-2011,352
305,IPL-2011,295
306,IPL-2011,327
307,IPL-2011,352
308,IPL-2012,227
309,IPL-2012,197
310,IPL-2012,230
311,IPL-2012,351
312,IPL-2012,294
313,IPL-2012,312
314,IPL-2012,306
315,IPL-2012,310
316,IPL-2012,280
317,IPL-2012,288
318,IPL-2012,221
319,IPL-2012,367
320,IPL-2012,413
321,IPL-2012,231
322,IPL-2012,268
323,IPL-2012,319
324,IPL-2012,311
325,IPL-2012,266
326,IPL-2012,331
327,IPL-2012,185
328,IPL-2012,393
329,IPL-2012,368
330,IPL-2012,251
331,IPL-2012,380
332,IPL-2012,315
333,IPL-2012,329
334,IPL-2012,293
335,IPL-2012,364
336,IPL-2012,327
337,IPL-2012,253
338,IPL-2012,332
339,IPL-2012,294
340,IPL-2012,339
341,IPL-2012,336
342,IPL-2012,377
343,IPL-2012,305
344,IPL-2012,333
345,IPL-2012,303
346,IPL-2012,201
347,IPL-2012,279
348,IPL-2012,359
349,IPL-2012,285
350,IPL-2012,321
351,IPL-2012,239
352,IPL-2012,310
353,IPL-2012,293
354,IPL-2012,311
355,IPL-2012,347
356,IPL-2012,366
357,IPL-2012,307
358,IPL-2012,251
359,IPL-2012,315
360,IPL-2012,283
361,IPL-2012,253
362,IPL-2012,311
363,IPL-2012,337
364,IPL-2012,229
365,IPL-2012,295
366,IPL-2012,384
367,IPL-2012,344
368,IPL-2012,318
369,IPL-2012,276
370,IPL-2012,248
371,IPL-2012,243
372,IPL-2012,409
373,IPL-2012,254
374,IPL-2012,286
375,IPL-2012,238
376,IPL-2012,255
377,IPL-2012,325
378,IPL-2012,306
379,IPL-2012,336
380,IPL-2012,358
381,IPL-2012,382
382,IPL-2013,257
383,IPL-2013,310
384,IPL-2013,230
385,IPL-2013,325
386,IPL-2013,287
387,IPL-2013,199
388,IPL-2013,295
389,IPL-2013,269
390,IPL-2013,374
391,IPL-2013,277
